VISA Manufacturer: SocketIO
Hello, I am Rohde&Schwarz,FSV3030,1330.5000K30/102136,2.00SP1
[3.  2.5 2.  1.5 1. ]
POINST TOTAL =  2112 Point Range =  132
Channel 1 PEP level: -10.0 dBm
Direct SCPI response on *IDN?: Rohde&Schwarz,SMM100A,1440.8002K02/101983,5.10.035.38  
Measurement prepared. freq: 5500000000.0 span: 0 mode: WRITe revlevel: -40 rbw: 2000 Hz swepnt: 2112 swtcnt: 1
Measurement time: 1.156 s
PAT:  00000000000000000000000000000000000000000000000000000000000000c3 POW MAX:  -70.1540401165302
PAT:  00000000000000000000000000000000000000000000000000000000000002c3 POW MAX:  -69.65803381112906
PAT:  000000000000000000000000000000000000000000000000000000000000c2c3 POW MAX:  -69.35171743539664
PAT:  000000000000000000000000000000000000000000000000000000000001c2c3 POW MAX:  -69.17784177339993
PAT:  000000000000000000000000000000000000000000000000000000000081c2c3 POW MAX:  -68.68057016225961
PAT:  000000000000000000000000000000000000000000000000000000000381c2c3 POW MAX:  -67.87328162560097
PAT:  00000000000000000000000000000000000000000000000000000000d381c2c3 POW MAX:  -67.12493515014648
PAT:  00000000000000000000000000000000000000000000000000000003d381c2c3 POW MAX:  -67.29964270958534
PAT:  000000000000000000000000000000000000000000000000000000e3d381c2c3 POW MAX:  -66.90318885216347
PAT:  000000000000000000000000000000000000000000000000000007e3d381c2c3 POW MAX:  -66.54712706345778
PAT:  0000000000000000000000000000000000000000000000000000c7e3d381c2c3 POW MAX:  -66.1731919508714
PAT:  0000000000000000000000000000000000000000000000000003c7e3d381c2c3 POW MAX:  -65.82539397019606
PAT:  0000000000000000000000000000000000000000000000000083c7e3d381c2c3 POW MAX:  -65.67378440270058
PAT:  0000000000000000000000000000000000000000000000000783c7e3d381c2c3 POW MAX:  -65.05326197697566
PAT:  000000000000000000000000000000000000000000000000c783c7e3d381c2c3 POW MAX:  -64.91689447256235
PAT:  000000000000000000000000000000000000000000000007c783c7e3d381c2c3 POW MAX:  -64.57245812049278
PAT:  000000000000000000000000000000000000000000000087c783c7e3d381c2c3 POW MAX:  -64.35326502873347
PAT:  000000000000000000000000000000000000000000000787c783c7e3d381c2c3 POW MAX:  -63.78818570650541
PAT:  00000000000000000000000000000000000000000000c787c783c7e3d381c2c3 POW MAX:  -63.62599167456994
PAT:  00000000000000000000000000000000000000000007c787c783c7e3d381c2c3 POW MAX:  -63.170452264639046
PAT:  00000000000000000000000000000000000000000087c787c783c7e3d381c2c3 POW MAX:  -63.02657127380371
PAT:  00000000000000000000000000000000000000000787c787c783c7e3d381c2c3 POW MAX:  -62.62549136235164
PAT:  0000000000000000000000000000000000000000c787c787c783c7e3d381c2c3 POW MAX:  -62.34472216092623
